entry_id,record_ref,location_id,recorded_on,value,label
ENT/2026/4081,REC-1081,LOC-201,2026-04-01,63360.37,Entry for CAT-03
ENT/2026/4082,REC-1082,LOC-201,2026-03-31,51772.47,Entry for CAT-02
ENT/2026/4083,REC-1083,LOC-103,2026-03-23,156220.06,Entry for CAT-04
ENT/2026/4084,REC-1084,LOC-103,2026-03-09,67519.37,Entry for CAT-02
ENT/2026/4085,REC-1085,LOC-101,2026-03-02,110270.87,Entry for CAT-01
ENT/2026/4086,REC-1086,LOC-202,2026-03-13,155372.61,Entry for CAT-03
ENT/2026/4087,REC-1087,LOC-102,2026-04-03,114149.26,Entry for CAT-02
ENT/2026/4088,REC-1088,LOC-103,2026-03-30,108553.36,Entry for CAT-07
ENT/2026/4089,REC-1089,LOC-201,2026-03-14,154371.33,Entry for CAT-03
ENT/2026/4090,REC-1090,LOC-201,2026-03-05,168963.52,Entry for CAT-02
ENT/2026/4091,REC-1091,LOC-103,2026-03-19,71937.78,Entry for CAT-08
ENT/2026/4092,REC-1092,LOC-101,2026-03-09,167356.77,Entry for CAT-03
ENT/2026/4093,REC-1093,LOC-101,2026-03-05,27616.93,Entry for CAT-07
ENT/2026/4094,REC-1094,LOC-101,2026-03-01,177970.27,Entry for CAT-03
ENT/2026/4095,REC-1095,LOC-202,2026-03-14,65384.06,Entry for CAT-02
ENT/2026/4096,REC-1096,LOC-201,2026-03-14,140903.80,Entry for CAT-02
ENT/2026/4097,REC-1097,LOC-102,2026-03-20,90328.13,Entry for CAT-05
ENT/2026/4098,REC-1098,LOC-101,2026-03-18,33681.45,Entry for CAT-01
ENT/2026/4099,REC-1099,LOC-202,2026-03-30,181481.33,Entry for CAT-06
ENT/2026/4100,REC-1100,LOC-201,2026-04-07,126637.27,Entry for CAT-03
ENT/2026/4101,REC-1101,LOC-102,2026-03-09,11887.09,Entry for CAT-05
ENT/2026/4102,REC-1102,LOC-102,2026-04-05,19284.80,Entry for CAT-04
ENT/2026/4103,REC-1103,LOC-202,2026-03-16,130676.84,Entry for CAT-06
ENT/2026/4104,REC-1104,LOC-102,2026-03-18,153003.81,Entry for CAT-08
ENT/2026/4105,REC-1105,LOC-201,2026-03-13,39833.22,Entry for CAT-04
ENT/2026/4106,REC-1106,LOC-201,2026-04-06,84157.72,Entry for CAT-07
ENT/2026/4107,REC-1107,LOC-101,2026-03-12,70801.47,Entry for CAT-03
ENT/2026/4108,REC-1108,LOC-201,2026-03-05,89079.09,Entry for CAT-03
ENT/2026/4109,REC-1109,LOC-101,2026-03-19,2524.52,Entry for CAT-05
ENT/2026/4110,REC-1110,LOC-202,2026-03-04,76547.71,Entry for CAT-05
ENT/2026/4111,REC-1111,LOC-202,2026-04-02,23759.67,Entry for CAT-02
ENT/2026/4112,1112,LOC-101,2026-03-19,52028.74,Entry for CAT-03
ENT/2026/4113,REC-1113,LOC-103,2026-03-17,14290.12,Entry for CAT-01
ENT/2026/4114,REC-1114,LOC-103,2026-04-01,156874.30,Entry for CAT-03
ENT/2026/4115,REC-1115,LOC-201,2026-03-29,97713.77,Entry for CAT-04
ENT/2026/4116,REC-1116,LOC-102,2026-03-14,163160.68,Entry for CAT-07
ENT/2026/4117,REC-1117,LOC-201,2026-04-01,165984.20,Entry for CAT-07
ENT/2026/4118,REC-1118,LOC-102,2026-03-23,104019.85,Entry for CAT-01
ENT/2026/4119,REC-1119,LOC-202,2026-04-01,168817.84,Entry for CAT-06
ENT/2026/4120,REC-1120,LOC-101,2026-03-27,40063.14,Entry for CAT-04
ENT/2026/4901,REC-1999,LOC-102,2026-03-18,41250.00,Entry for CAT-05
ENT/2026/4902,REC-1042,LOC-101,2026-03-04,112837.06,Entry for CAT-02
ENT/2026/4903,REC-1055,LOC-103,2026-03-14,107926.39,Entry part 2 of 2
