record_id,location_id,event_date,category_code,actor_id,base_value,adjustment,total_value,state
REC-1042,LOC-101,2026-03-04,CAT-02,USR-21,88153.95,24683.11,112837.06,CONFIRMED
REC-1043,LOC-102,2026-03-13,CAT-01,USR-12,63374.36,17744.82,81119.18,CONFIRMED
REC-1044,LOC-102,2026-03-09,CAT-06,USR-12,102262.75,28633.57,130896.32,CONFIRMED
REC-1045,LOC-102,2026-03-18,CAT-02,USR-21,23500.63,6580.18,30080.81,CONFIRMED
REC-1046,LOC-102,2026-03-21,CAT-01,USR-21,68776.29,19257.36,88033.65,CONFIRMED
REC-1047,LOC-201,2026-03-13,CAT-06,USR-22,121090.50,33905.34,154995.84,CONFIRMED
REC-1048,LOC-103,2026-03-03,CAT-04,USR-22,16590.61,4645.37,21235.98,CONFIRMED
REC-1049,LOC-201,2026-04-03,CAT-05,USR-22,101368.78,28383.26,129752.04,CONFIRMED
REC-1050,LOC-202,2026-03-20,CAT-03,,125317.07,35088.78,160405.85,CONFIRMED
REC-1051,LOC-202,2026-03-12,CAT-04,USR-12,12054.64,3375.30,15429.94,CONFIRMED
REC-1052,LOC-102,2026-03-23,CAT-01,USR-21,143715.50,40240.34,183955.84,CONFIRMED
REC-1053,LOC-102,2026-03-17,CAT-03,USR-21,110833.36,31033.34,141866.70,CONFIRMED
REC-1054,LOC-101,2026-03-04,CAT-04,USR-22,104812.82,29347.59,134160.41,CONFIRMED
REC-1055,LOC-103,2026-03-14,CAT-08,USR-11,140529.16,39348.16,179877.32,CONFIRMED
REC-1056,LOC-102,2026-03-11,CAT-03,USR-11,115074.66,32220.90,147295.56,CONFIRMED
REC-1057,LOC-201,2026-03-21,CAT-08,USR-12,138958.12,38908.27,177866.39,CONFIRMED
REC-1058,LOC-101,2026-03-02,CAT-06,USR-12,31040.58,8691.36,39731.94,CONFIRMED
REC-1059,LOC-102,2026-03-03,CAT-06,USR-11,109377.05,30625.57,140002.62,CONFIRMED
REC-1060,LOC-202,2026-03-01,CAT-02,USR-11,34702.40,9716.67,44419.07,CONFIRMED
REC-1061,LOC-202,2026-03-11,CAT-02,USR-12,68449.60,19165.89,87615.49,CONFIRMED
REC-1062,LOC-202,2026-03-22,CAT-08,USR-22,49408.82,13834.47,63243.29,CONFIRMED
REC-1063,LOC-102,2026-04-06,CAT-03,USR-12,36886.07,10328.10,47214.17,CONFIRMED
REC-1064,LOC-101,2026-04-03,CAT-04,USR-12,143159.50,40084.66,183244.16,CONFIRMED
REC-1065,LOC-201,2026-03-28,CAT-05,USR-13,140357.37,39300.06,179657.43,CONFIRMED
REC-1066,LOC-101,2026-03-06,CAT-02,USR-12,74354.51,20819.26,95173.77,CONFIRMED
REC-1067,LOC-103,2026-03-25,CAT-02,USR-22,124104.82,34749.35,158854.17,CONFIRMED
REC-1068,LOC-101,2026-03-01,CAT-05,USR-22,35458.59,9928.41,45387.00,CONFIRMED
REC-1069,LOC-202,2026-03-13,CAT-06,USR-11,85328.52,23891.99,109220.51,CONFIRMED
REC-1070,LOC-202,2026-03-18,CAT-05,USR-12,1256.99,351.96,1608.95,CONFIRMED
REC-1071,LOC-102,2026-03-05,CAT-02,USR-21,52208.31,14618.33,66826.64,CONFIRMED
REC-1072,LOC-103,2026-03-29,CAT-03,USR-11,55951.28,15666.36,71617.64,CONFIRMED
REC-1073,LOC-202,2026-03-13,CAT-05,USR-22,114103.26,31948.91,146052.17,CONFIRMED
REC-1074,LOC-103,2026-03-07,CAT-01,USR-22,126159.24,35324.59,161483.83,CONFIRMED
REC-1075,LOC-201,2026-03-07,CAT-01,USR-13,77938.05,21822.65,99760.70,CONFIRMED
REC-1076,LOC-103,2026-04-08,CAT-05,USR-11,90335.96,25294.07,115630.03,CONFIRMED
REC-1077,LOC-102,2026-03-19,CAT-04,USR-21,65126.09,18235.31,83361.40,CONFIRMED
REC-1078,LOC-103,2026-03-25,CAT-08,USR-11,75265.47,21074.33,96339.80,CONFIRMED
REC-1079,LOC-103,2026-03-08,CAT-05,USR-21,70096.66,19627.06,89723.72,CONFIRMED
REC-1080,LOC-103,2026-03-13,CAT-02,USR-12,68768.51,19255.18,88023.69,CONFIRMED
REC-1081,LOC-201,2026-04-01,CAT-03,USR-11,49500.29,13860.08,63360.37,CONFIRMED
REC-1082,LOC-201,2026-03-31,CAT-02,USR-13,40447.24,11325.23,51772.47,CONFIRMED
REC-1083,LOC-103,2026-03-23,CAT-04,USR-11,122046.92,34173.14,156220.06,CONFIRMED
REC-1084,LOC-103,2026-03-09,CAT-02,USR-11,52749.51,14769.86,67519.37,CONFIRMED
REC-1085,LOC-101,2026-03-02,CAT-01,USR-21,86149.12,24121.75,110270.87,CONFIRMED
REC-1086,LOC-202,2026-03-13,CAT-03,USR-13,121384.85,33987.76,155372.61,CONFIRMED
REC-1087,LOC-102,2026-04-03,CAT-02,USR-12,89179.11,24970.15,114149.26,CONFIRMED
REC-1088,LOC-103,2026-03-30,CAT-07,USR-13,108553.36,30394.94,138948.30,CONFIRMED
REC-1089,LOC-201,2026-03-14,CAT-03,USR-22,120602.60,33768.73,154371.33,CONFIRMED
REC-1090,LOC-201,2026-03-05,CAT-02,USR-12,132002.75,36960.77,168963.52,CONFIRMED
REC-1091,LOC-103,2026-03-19,CAT-08,USR-11,56201.39,15736.39,71937.78,CONFIRMED
REC-1092,LOC-101,2026-03-09,CAT-03,USR-21,130747.48,36609.29,167356.77,CONFIRMED
REC-1093,LOC-101,2026-03-05,CAT-07,USR-13,21575.73,6041.20,27616.93,CONFIRMED
REC-1094,LOC-101,2026-03-01,CAT-03,USR-12,139039.27,38931.00,177970.27,CONFIRMED
REC-1095,LOC-202,2026-03-14,CAT-02,USR-12,51081.30,14302.76,65384.06,CONFIRMED
REC-1096,LOC-201,2026-03-14,CAT-02,USR-13,110081.09,30822.71,140903.80,CONFIRMED
REC-1097,LOC-102,2026-03-20,CAT-05,USR-11,70568.85,19759.28,90328.13,CONFIRMED
REC-1098,LOC-101,2026-03-18,CAT-01,USR-12,26313.63,7367.82,33681.45,CONFIRMED
REC-1099,LOC-202,2026-03-30,CAT-06,USR-12,141782.29,39699.04,181481.33,CONFIRMED
REC-1100,LOC-201,2026-04-07,CAT-03,USR-13,98935.37,27701.90,126637.27,CONFIRMED
REC-1101,LOC-102,2026-03-09,CAT-05,USR-13,9286.79,2600.30,11887.09,CONFIRMED
REC-1102,LOC-102,2026-04-05,CAT-04,USR-11,15066.25,4218.55,19284.80,CONFIRMED
REC-1103,LOC-202,2026-03-16,CAT-06,USR-22,102091.28,28585.56,130676.84,CONFIRMED
REC-1104,LOC-102,2026-03-18,CAT-08,USR-12,119534.23,33469.58,153003.81,CONFIRMED
REC-1105,LOC-201,2026-03-13,CAT-04,USR-11,31119.70,8713.52,39833.22,CONFIRMED
REC-1106,LOC-201,2026-04-06,CAT-07,USR-12,65748.22,18409.50,84157.72,CONFIRMED
REC-1107,LOC-101,2026-03-12,CAT-03,USR-21,55313.65,15487.82,70801.47,CONFIRMED
REC-1108,LOC-201,2026-03-05,CAT-03,USR-21,69593.04,19486.05,89079.09,CONFIRMED
REC-1109,LOC-101,2026-03-19,CAT-05,USR-22,1972.28,552.24,2524.52,CONFIRMED
REC-1110,LOC-202,2026-03-04,CAT-05,USR-13,59802.90,16744.81,76547.71,CONFIRMED
REC-1111,LOC-202,2026-04-02,CAT-02,USR-13,18562.24,5197.43,23759.67,CONFIRMED
REC-1112,LOC-101,2026-03-19,CAT-03,USR-12,40647.45,11381.29,52028.74,CONFIRMED
REC-1113,LOC-103,2026-03-17,CAT-01,USR-22,11164.16,3125.96,14290.12,CONFIRMED
REC-1114,LOC-103,2026-04-01,CAT-03,USR-13,122558.05,34316.25,156874.30,CONFIRMED
REC-1115,LOC-201,2026-03-29,CAT-04,USR-13,76338.88,21374.89,97713.77,CONFIRMED
REC-1116,LOC-102,2026-03-14,CAT-07,USR-11,127469.28,35691.40,163160.68,CONFIRMED
REC-1117,LOC-201,2026-04-01,CAT-07,USR-12,129675.16,36309.04,165984.20,CONFIRMED
REC-1118,LOC-102,2026-03-23,CAT-01,USR-11,81265.51,22754.34,104019.85,CONFIRMED
REC-1119,LOC-202,2026-04-01,CAT-06,USR-12,131888.94,36928.90,168817.84,CONFIRMED
REC-1120,LOC-101,2026-03-27,CAT-04,USR-12,31299.33,8763.81,40063.14,CONFIRMED
